"ID_PROD",0	"CATEGORIA",0	"SUBCATEGORIA",0	"NOMBRE",0	"DESCRIPCION",0	"MARCA",0	"UNIDCOMP",0	"PRECOSTO",1	"PREVENTA",1	"STOCK",1	"TPREPAR",1	"FECCRE",2	"FECMOD",2
7750082001169	COUNTER	LIBRERIA		Tampón grande - Artesco			0	4.5	-1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
00001234567	COUNTER	LIBRERIA		Tarjetas de Regalo			0	0.2	95	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
0012345678	COUNTER	LIBRERIA		Papel Celofán			0	1	3	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
0000123456	COUNTER	LIBRERIA		Papel de Seda			0	1	6	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
6933256618566	COUNTER	LIBRERIA		Porta Minas - Faber Castell			0	4.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7891360483977	COUNTER	LIBRERIA		Minas - Faber Castell			0	3	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750049612933	COUNTER	LIBRERIA		Cuaderno A4 - Justus			0	4	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
000123547687	COUNTER	LIBRERIA		Cartulina Negra y Kanson		Paq. de 50 o 100	0.48	1	-38	0	1899:12:30:00:00:00	2017:04:07:00:00:00	
0000123456789	COUNTER	LIBRERIA		Escarcha - Sobre 			0.12	0.3	25	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750807002785	COUNTER	LIBRERIA		Compas Escolar - Kp			0	3	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
9330921084775	COUNTER	LIBRERIA		Lapiz Bicolor - Arti			0.583333333333333	1	-3	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
000123454678	COUNTER	LIBRERIA		Silicona - Barra 			0	0.5	-16	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
775008239780	COUNTER	LIBRERIA		Dispensador Escarcha - Artesco			0	10	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750080005563	COUNTER	LIBRERIA		Alfileres 28mm - Artesco			0	2	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
