"ID_PROD",0	"CATEGORIA",0	"SUBCATEGORIA",0	"NOMBRE",0	"DESCRIPCION",0	"MARCA",0	"UNIDCOMP",0	"PRECOSTO",1	"PREVENTA",1	"STOCK",1	"TPREPAR",1	"FECCRE",2	"FECMOD",2	"ACTIVO",0	"PROVEE",0
7750082002647	COUNTER	LIBRERIA		Crayolas Jumbo 120gr - Artesco			0	5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
6939540507387	COUNTER	LIBRERIA		ClipsColores 100 Unds- Paper Colour Clip			0	3.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750082010154	COUNTER	LIBRERIA		Perforador M01 - Artesco			0	8	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
7750805000318	COUNTER	LIBRERIA		Fichas Bibliográficas 			0	0.1	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
000123457689	COUNTER	LIBRERIA		Sticker precio Verde/Naranja			1	2	10	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
04133301463	COUNTER	LIBRERIA		Pila duracell AA2. Paq. de dos		Docena o media docena de pares	3.83	5.5	3	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
SER05	COUNTER	SERVIC		Espiralado hasta 30 hojas			0	3	691	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
0001243567891	COUNTER	LIBRERIA		Papel de Regalo		Paq de 50 o 100	0.2	0.5	23	0	1899:12:30:00:00:00	2017:04:07:00:00:00	V	
012345678998	COUNTER	LIBRERIA		Cinta de Embalaje pequeño		docena	0.5	1	3	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
#2790	COUNTER	LIBRERIA		Sobre Carta blanco			0	0.2	3		2018:02:28:13:12:40	2018:02:28:13:12:40	V	
7750049612933	COUNTER	LIBRERIA		Cuaderno A4 - Justus			0	4	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
01075359	COUNTER	LIBRERIA		Talonario Recibo para pago 		Paq. de 10	0.6	1.2	7	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
01075397	COUNTER	LIBRERIA		Talonario Guia Remision			0	3.9	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
4719867213084	COUNTER	LIBRERIA		Pegamento Super Glue 		Paq de 12	0.29	1	-2	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	NAD01
4026700424256	COUNTER	LIBRERIA		Uhu - 20ml			0	4.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
7754005381918	COUNTER	LIBRERIA		Masking Tape - Pegafan 1/2 x 15 yds		Docena o media	0.75	1.5	3	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7754005016810	COUNTER	LIBRERIA		Masking Tape - Pegafan 1'' x 15 yds		Docena o media	1.5	2.5	2	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7754005016834	COUNTER	LIBRERIA		Masking Tape  1 1/2  x  15 yds		Docena o fracción	2.16666666666667	3.5	5	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
000123547688	COUNTER	LIBRERIA		Cartulina - Plastificada			0	1.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
75551466818	COUNTER	LIBRERIA		Colores Layconsa - Caja Chica  x 12	LAYCONSA		2.83333333333333	4	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
6939540505178	COUNTER	LIBRERIA		Mini Engrapador 			0	4	6	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
7590011205158	COUNTER	SNACK		Galleta Club Social	Nabisco	Pag de 6	0.416666666666667	0.7	3	0	2017:04:05:16:11:22	2017:04:05:16:11:22	V	
000012345678	COUNTER	LIBRERIA		Papel - Calca A4			0	0.5	-1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
0002457893	COCINA	PASTELERIA		Queque			0	1.5	-2	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
6925410800511	COUNTER	LIBRERIA		Clip de Colores (delfín)			0	3.5	2	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
00001234567	COUNTER	LIBRERIA		Tarjetas de Regalo			0	0.2	47	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
0001234567	COUNTER	LIBRERIA		Laminas Escolares			0	4	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
7750670000208	COUNTER	GASEOSA		Sporade Vidrio 475mL		Paq. de 12	1.5	2.2	13	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	01, 02
ESP02	COUNTER	SERVIC		Espiralado hasta 50 hojas			0	4	-16		2018:04:04:11:33:28	2018:04:04:11:33:28	V	
0003	COUNTER	SERVIC		Corte - Guillotina			0	1	992	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
00012345678	COUNTER	LIBRERIA		Tecnopor - Variado			0	3	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
3013016872032	COUNTER	LIBRERIA		Mini Engrampador Ove 			0	4.5	-2	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
7754111004299	COUNTER	LIBRERIA		Mini Engrapador  Artesco		docena	3.33333333333333	5	4	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7891360621676	COUNTER	LIBRERIA		Colores Grande Faber Castell			0	8.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
7750082042674	COUNTER	LIBRERIA		Lapiz Grafito - Artesco			0	1	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
7754806000025	COUNTER	LIBRERIA		Engrampador Alleanza			0	5.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
7750212044714	COUNTER	LIBRERIA		Cuaderno A4 - David	DAVID	Docena	2	3	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750082006959	COUNTER	LIBRERIA		Tampon Chico- Artesco		docena o fracción	3	4	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
ESP03	COUNTER	SERVIC		Espiralado hasta 100 hojas			0	6	-16		2018:04:04:11:35:01	2018:04:04:11:35:01	V	
7750215014021	COUNTER	LIBRERIA		Cuadernno luxe			0	6	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
7750212048163	COUNTER	LIBRERIA		Cuaderno Theme Book			0	6	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
PAL001	COUNTER	LIBRERIA		Palitos de Chupete (bolsita de aprox. 32)		Bolsa de 12 bolsitas	0.375	1.5	12	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
PAL002	COUNTER	LIBRERIA		Paquete de Baja Lengua			0	5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
PINCEL001	COUNTER	LIBRERIA		Pinceles Variados			0	3	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
PROY001	COUNTER	LIBRERIA		Proyecto Escolar - Timbre Eléctrico			0	30	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
PROY002	COUNTER	LIBRERIA		Proyecto Escolar - Disco de Newton			0	30	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
PROY004	COUNTER	LIBRERIA		Proyecto Escolar - Robot hexápodo			0	60	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
PROY003	COUNTER	LIBRERIA		Proyecto Escolar - Generador de Electricidad			0	40	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
PROY005	COUNTER	LIBRERIA		Proyecto Escolar - Energía Solar (reloj)			0	25	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
